Name|Description|Price|Feature|ReleaseDate
Laptop - High-performance laptop for work and entertainment. - 1000 - Intel Core i7 processor; 16GB RAM; 512GB SSD - 01/01/2018
Smartphone - Feature-packed smartphone with advanced camera and display. - 700 - "6.5"" AMOLED display; 128GB storage; 5G connectivity" - 08/03/2018
Smart TV - 4K Ultra HD smart TV with built-in streaming apps. - 900 - "65"" screen; voice control; HDR support" - 15/05/2018
Fitness Tracker - Wearable fitness tracker with heart rate monitor and GPS. - 130 - Heart rate monitor; step counter; GPS tracking - 22/07/2018
Wireless Earbuds - True wireless earbuds with noise cancellation. - 150 - Noise cancellation; touch controls; 30-hour battery life - 28/09/2018
Coffee Maker - Programmable coffee maker for brewing delicious coffee. - 80 - 12-cup capacity; programmable timer; auto shut-off - 04/12/2018
Digital Camera - High-resolution digital camera for capturing memories. - 400 - 24MP sensor; 4K video recording; Wi-Fi connectivity - 11/02/2019
Gaming Console - Next-gen gaming console for immersive gaming experience. - 500 - 4K gaming; SSD storage; ray tracing - 18/04/2019
Tablet - Versatile tablet for work and entertainment on-the-go. - 300 - "10.1"" display; quad-core processor; 64GB storage" - 25/06/2019
External Hard Drive - External hard drive for storing and backing up data. - 130 - 2TB capacity; USB 3.0 connectivity; rugged design - 01/09/2019
Wireless Router - High-speed wireless router for seamless internet connectivity. - 80 - Dual-band Wi-Fi; gigabit Ethernet ports; parental controls - 08/11/2019
Power Bank - Portable power bank for charging devices on-the-go. - 40 - 20000mAh capacity; multiple USB ports; LED indicators - 15/01/2020
Electric Toothbrush - Electric toothbrush for efficient and thorough cleaning. - 50 - Sonic technology; multiple cleaning modes; built-in timer - 23/03/2020
Portable Speaker - Compact portable speaker for music on-the-go. - 30 - 10W output; Bluetooth connectivity; built-in mic - 30/05/2020
Wireless Mouse - Wireless mouse for comfortable and precise navigation. - 20 - Optical sensor; ergonomic design; plug-and-play - 06/08/2020
Action Camera - Action camera for capturing adventures in high-definition. - 150 - 4K video recording; waterproof; Wi-Fi connectivity - 12/10/2020
Stand Mixer - Versatile tablet for work and entertainment on-the-go. - 200 - 5-quart stainless steel bowl; 10-speed settings; tilt-head design - 19/12/2020
Fitness Watch - Fitness watch for tracking workouts and monitoring health. - 180 - GPS tracking; heart rate monitor; sleep analysis - 26/02/2021
Electric Kettle - Electric kettle for boiling water quickly and efficiently. - 30 - 1.7-liter capacity; stainless steel construction; auto shut-off - 03/05/2021
Wireless Keyboard - Wireless keyboard for comfortable typing and convenience. - 50 - Full-size layout; quiet keys; long battery life - 09/07/2021
Robot Vacuum Cleaner - Robot vacuum cleaner for hands-free cleaning. - 300 - Smart navigation; multi-surface brushes; app control - 16/09/2021
Portable SSD - Portable SSD for fast and reliable storage. - 180 - 1TB capacity; USB-C connectivity; shock-resistant - 23/11/2021
Air Purifier - Air purifier for clean and fresh indoor air. - 200 - True HEPA filter; 4-stage purification; quiet operation - 01/02/2022
Portable Projector - Portable projector for home entertainment and presentations. - 250 - 1080p resolution; built-in speaker; HDMI input - 09/04/2022
Slow Cooker - Slow cooker for convenient and flavorful cooking. - 60 - 6-quart capacity; programmable timer; removable stoneware - 16/06/2022
